Species,corMxPA,AUC,TSS,beta,AUC.CV,TSS.CV
sa01,0.6448332,0.8579075,0.1724112,0.8533534,0.8588274,0.0205369
sa17,0.636634,0.8710179,0.1153823,1.024767,0.9584051,0.006294034
sa26,0.6894666,0.7073733,0.2215886,0.9303815,0.8322966,0.02989909
sa06,0.483643,0.8168403,0.07233297,0.9581445,0.9850593,0.007112803
sa21,0.4546808,0.7537355,0.1139963,1.035224,0.8203199,0.004109429
sa01,0.473332,0.7672619,0.09918275,0.9695647,0.8367709,0.01893455
sa17,0.06332525,0.7526042,0.06984227,0.9269455,0.9876374,0.007555336
sa06,0.6026074,0.8108374,0.07632855,0.7822032,0.9853717,0.007720773
sa26,0.5389299,0.6708148,0.1465938,0.9137156,0.8412638,0.03420208
sa21,0.840577,0.8282828,0.1168809,0.4861767,0.8505708,0.003516539
sa01,0.513304,0.808364,0.1999975,1.092575,0.8273455,0.01834504
sa06,0.7725014,0.9257991,0.08107897,0.5278684,0.9879592,0.007317762
sa21,0.7942314,0.7272727,0.09648397,0.8901616,0.7899589,0.003565797
sa26,0.6162622,0.6916667,0.1318976,1.049041,0.8251042,0.03367281
sa17,0.5476305,0.8736299,0.1506827,1.266361,0.9684366,0.007418046
sa12,0.9830879,0.9507471,0.1340176,1.291518,0.8998308,0.03340112
sa01,0.5199513,0.7039931,0.01131509,0.6268976,0.8016209,0.01873674
sa06,0.5947937,0.8147783,0.06458659,0.8502272,0.9836715,0.006582503
sa21,0.7250181,0.6640152,0.1411904,0.8454888,0.7183859,0.003066637
sa26,0.5722408,0.7295082,0.2166642,0.9873273,0.8019304,0.03336534
sa17,0.5912829,0.8091554,0.08118236,0.947267,0.9950865,0.01027137
sa12,0.965631,0.8588235,0.1752547,1.082083,0.931465,0.03504658
sa01,0.7580174,0.8015152,0.1976074,0.9463336,0.8366203,0.01806467
sa06,0.6431595,0.8689655,0.09090688,0.6932225,0.9880142,0.00768663
sa21,0.1927686,0.5267857,0.02840671,0.9286461,0.6139663,0.001656854
sa17,0.9248438,0.8671533,0.1737117,0.8692047,0.9961333,0.00917615
sa26,0.3807268,0.6441481,0.07102074,1.02683,0.8248244,0.03205325
sa12,0.9646803,0.9154762,0.1249971,1.245862,0.907724,0.03373667
sa06,0.4345502,0.7711268,0.1106273,0.6498575,0.9740599,0.007128075
sa01,0.660272,0.6371528,0.06742519,0.7502821,0.8467933,0.01737929
sa22,0.8607156,0.9232143,0.1379285,1.171451,0.9604248,0.01052426
sa17,0.4373121,0.8295517,0.111841,0.7359468,0.951323,0.006918779
sa26,0.6449828,0.7051913,0.2224527,0.9365707,0.8187534,0.03212377
sa06,0.6070748,0.8885135,0.06249812,0.7899025,0.9819073,0.007175366
sa12,0.9779463,0.8986014,0.2291636,1.178846,0.9264266,0.03646962
sa01,0.5022349,0.8428334,0.1585341,1.084444,0.8501226,0.01827561
sa22,0.7942884,0.8433868,0.1428544,0.9756864,0.9644991,0.009282483
sa17,0.6001841,0.7869397,0.1161882,0.6969109,0.9937446,0.00862023
sa26,0.4564497,0.62442,0.1487247,0.8854893,0.8234989,0.03024439
sa06,0.5490493,0.78125,0.05262947,0.9772467,0.9875343,0.007057012
sa01,0.5871579,0.734375,0.1592645,1.028756,0.8318769,0.01894206
sa12,0.9282832,0.8942999,0.1340176,1.063702,0.9225406,0.03595102
sa22,0.7694843,0.8640249,0.09999738,1.10106,0.9621732,0.01025713
sa17,0.4977496,0.7482639,0.06285816,0.9182243,0.9927557,0.008598498
sa26,0.6513566,0.7379731,0.2892857,1.352037,0.8005913,0.02801692
sa06,0.183594,0.6992958,0.08610902,0.6699421,0.9832288,0.006939002
sa01,0.6439736,0.8130952,0.1275098,1.075726,0.8238247,0.0185943
sa12,0.9774844,0.875817,0.1752547,1.177774,0.919325,0.03472096
sa22,0.8915021,0.9267857,0.130432,0.7469982,0.9906218,0.009886674
sa17,0.8074785,0.9037078,0.1666643,1.210216,0.9867454,0.008347238
sa06,0.4319841,0.7567988,0.08664578,0.7206178,0.9822703,0.006987664
sa26,0.6245816,0.6560917,0.1274957,1.055509,0.8358903,0.03766558
sa01,0.4964404,0.7625899,0.1139963,0.946465,0.8530465,0.0198614
sa12,0.9740495,0.8708333,0.1237084,1.406617,0.9073504,0.03361548
sa22,0.9268129,0.7921182,0.07954294,1.000414,0.9786733,0.008911567
sa17,0.9671688,0.865523,0.1805533,0.758037,0.9956567,0.008975893
sa06,0.5957303,0.8995074,0.1076903,0.8394016,0.9858889,0.007449408
sa26,0.6304707,0.7405144,0.1826033,1.033665,0.8239801,0.03142504
sa01,0.8307711,0.8265152,0.1848714,0.9459257,0.8191987,0.01775957
sa12,0.9450994,0.9037037,0.1752547,1.17178,0.9105393,0.03468858
sa17,0.7978243,0.8833333,0.1499976,0.8759641,0.9932238,0.007848293
sa22,0.9107162,0.9105634,0.1075241,0.7938614,0.9708313,0.009144021
sa06,0.3329778,0.7682648,0.05583288,0.8177404,0.9792674,0.007736699
sa26,0.4927159,0.8154074,0.2930241,1.057232,0.8410116,0.03655157
sa01,0.5821318,0.6697168,0.08257284,0.7014286,0.8243962,0.0185686
sa17,0.6826823,0.8174048,0.08610884,0.7731518,0.9965122,0.008451227
sa06,0.3586236,0.8019704,0.07490633,0.9256078,0.9815715,0.007053644
sa12,0.9553279,0.9303675,0.1133991,1.372333,0.9190519,0.03439911
sa22,0.9680084,0.901354,0.1208764,0.9033734,0.9754956,0.009472302
sa26,0.4104348,0.6456296,0.08472011,0.8723559,0.8255986,0.03316311
sa01,0.6167099,0.7757179,0.2088433,0.8346579,0.8148371,0.01817996
sa17,0.8814595,0.8732394,0.09702428,0.8646634,0.9927713,0.008225182
sa06,0.4362865,0.8489583,0.06442381,0.9558904,0.9817742,0.007128859
sa22,0.9497389,0.8514085,0.1176446,1.074454,0.9676732,0.009862976
sa12,0.9678717,0.8681066,0.1666637,1.286235,0.9110695,0.0350646
sa26,0.7258419,0.7239636,0.2051798,0.8949702,0.8250288,0.03234223
sa01,0.6603874,0.8152174,0.1320997,0.8475204,0.8318252,0.01776111
sa17,0.2631394,0.8201161,0.1093699,0.6443561,0.9921141,0.008543495
sa06,0.5264755,0.8702461,0.0428552,0.8373058,0.977793,0.007109224
sa22,0.9928929,0.873824,0.1428544,0.7718512,0.9872545,0.009712604
sa12,0.9686868,0.8295165,0.2164917,1.200545,0.9137698,0.0351233
sa26,0.7371452,0.7364732,0.20796,1.04753,0.8025158,0.03126176
sa17,0.9004533,0.8857809,0.1084313,0.800874,0.9958129,0.007476763
sa01,0.4018087,0.7852113,0.09393861,1.070262,0.824071,0.01924335
sa06,0.9336145,0.9065119,0.1235929,1.165672,0.9729779,0.006673443
sa22,0.9693502,0.9104623,0.1666639,0.9950055,0.980373,0.009313325
sa12,0.9639801,0.9212329,0.06249719,1.422039,0.9256956,0.03543884
sa17,0.8698716,0.968143,0.1168809,1.29368,0.9888984,0.009005635
sa06,0.6246302,0.8504191,0.1020671,0.9296624,0.9835567,0.007518677
sa26,0.629565,0.7748148,0.2585972,0.9283116,0.8464905,0.03640347
sa01,0.5116556,0.777114,0.1421579,1.015491,0.8344573,0.01883738
sa22,0.8506481,0.9182266,0.08045729,1.131214,0.9490047,0.01090852
sa12,0.9748883,0.871024,0.1752547,1.185489,0.9079045,0.03567429
sa17,0.6480799,0.8570319,0.149998,0.7678697,0.9940012,0.009653885
sa06,0.6235286,0.7990868,0.04574593,1.212398,0.982516,0.006654284
sa26,0.7684156,0.7013661,0.2387073,0.9284225,0.8395116,0.03224548
sa01,0.5970317,0.7753182,0.1320533,0.9894351,0.8449039,0.0194014
sa22,0.8889751,0.8988095,0.1276567,0.8863419,0.9582412,0.00937945
sa17,0.7914826,0.973399,0.08333095,1.00946,0.9939857,0.008116813
sa12,0.9845028,0.9202381,0.1237084,1.37377,0.9122885,0.03528403
sa06,0.6245051,0.8310502,0.08107897,0.7047978,0.9831617,0.007299322
sa27,0.7514179,0.8273381,0.1624976,0.9218169,0.8168148,0.005492848
